"Name","State","Notes","User","Tags","Created","Runtime","Sweep","activation","approx","batch_size","beta","data_root","dataset","depth","device","double","head","head_activation","likelihood","lr","lr_hyp","lr_hyp_min","lr_min","marglik_early_stopping","marglik_frequency","method","n_data","n_epochs","n_epochs_burnin","n_hypersteps","n_param_groups","n_params","optimizer","prior_prec_init","rep","seed","typeofrep","use_wandb","vi_posterior_mu_init","vi_posterior_rho_init","vi_prior_mu","width","epoch","hyperparams/prior_prec_layer1.bias","hyperparams/prior_prec_layer1.weight","hyperparams/prior_prec_layer2.bias","hyperparams/prior_prec_layer2.weight","hyperparams/prior_prec_layer3.bias","hyperparams/prior_prec_layer3.weight","hyperparams/prior_prec_out_layer.bias","hyperparams/prior_prec_out_layer.weight","params/layer1.bias","params/layer1.weight","params/layer2.bias","params/layer2.weight","params/layer3.bias","params/layer3.weight","params/out_layer.bias","params/out_layer.weight","prior_prec_opt","test/loglik","test/loglik_bayes","test/loglik_bayes_mc","test/loglik_bayes_mc_lse","test/loglik_bayes_mean","test/mse","train/loss","train/lr","train/marglik","train/nll","train/perf","valid/nll"
"wine-quality-red-marglik-75f6","finished","-","","marglik, wine-quality-red","2024-11-13T10:29:03.000Z","25411","","selu","full","256","0.5","data/","wine-quality-red","3","cpu","true","natural","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","50","marglik","1439","5000","100","50","8","12452","Adam","1","0","11","Flipout","true","0","-3","0","75","5000","1.428941249847412","0.529446542263031","0.3361873924732208","1.0818754434585571","0.2267608791589737","1.338852882385254","0.04542899504303932","0.14200901985168457","0.17820169593201307","0.6546977204811536","0.281382330164807","0.0902384603628829","0.04120439319415453","0.07046841328691247","0.20483180735266385","2.43341570129083","","-51.030301269190225","-0.934167722191522","-3.066366945638538","-0.8865509356295457","-0.8136003206981771","1.1565675689559438","-1.1460044523257436","0.00001","1.7789203019866775","-1.6480877719413511","0.00010219201351812642",""
"wine-quality-red-map-086a","finished","-","","map, wine-quality-red","2024-11-13T10:13:07.000Z","948","","selu","full","256","0.5","data/","wine-quality-red","3","cpu","true","natural","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","50","map","1439","5000","5001","50","8","12452","Adam","1","0","11","Flipout","true","0","-3","0","75","5000","","","","","","","","","0.0001098347516771582","0.0005107618418375874","0.00020117543966329825","0.00008476499495487763","0.0024197437048541735","0.00009361949544142744","0.1409166070177631","0.005071824732560156","100","-1.078172419218827","-1.0784407193761971","-1.0782037938859408","-1.079393763989111","-1.0784125881265032","0.802904787076017","1.285219133994112","0.00001","","1.1923661316706289","0.6306896631172525","1.2234298767956708"
"wine-quality-red-marglik-a38e","finished","-","","marglik, wine-quality-red","2024-11-13T03:09:29.000Z","25408","","gelu","full","256","0.5","data/","wine-quality-red","3","cpu","true","meanvar","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","50","marglik","1439","5000","100","50","8","12452","Adam","1","0","11","Flipout","true","0","-3","0","75","5000","0.7365232706069946","1.2250075340270996","1.7221943140029907","3.113184690475464","0.11917077749967576","3.182792901992798","0.04526207223534584","0.3506116271018982","0.8753563347244365","0.4439485003847445","0.19696727560925015","0.05740842814361842","2.815790959137868","0.029464693637803428","19.61091749555592","1.11585833751144","","-985175.5171554524","-1.5076656965381123","-18.848469310138636","-4304.834452490843","-48.20851248905022","0.7129544784644851","-5.297067479576397","0.00001","1.1775695459936344","-6.0421319468775465","0.10314979987958116",""
"wine-quality-red-map-cf73","finished","-","","map, wine-quality-red","2024-11-13T02:46:13.000Z","1390","","gelu","full","256","0.5","data/","wine-quality-red","3","cpu","true","meanvar","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","50","map","1439","5000","5001","50","8","12452","Adam","1","0","11","Flipout","true","0","-3","0","75","5000","","","","","","","","","0.005536646496290802","0.0006481888702303907","0.001333402289570134","0.0001482296827468123","0.000036215863267379135","0.00014054555008781425","0.13435528766483412","0.004326638942156387","100","-1.1139745596821284","-1.1126565840045088","-1.112003328058524","-1.1125608512721583","-1.112735798960553","0.8259133297970165","1.3268298233008506","0.00001","","1.2019237045815334","0.651462787051104","1.4151393243905608"
"wine-quality-red-marglik-a42b","finished","-","","marglik, wine-quality-red","2024-11-12T19:41:05.000Z","25501","","gelu","full","256","0.5","data/","wine-quality-red","3","cpu","true","natural","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","50","marglik","1439","5000","100","50","8","12452","Adam","1","0","11","Flipout","true","0","-3","0","75","5000","0.5778406858444214","0.406733363866806","0.20063237845897677","0.45895692706108093","0.42024198174476624","1.139866590499878","1.149336576461792","0.010390324518084526","0.5434772976884538","0.843813446451841","0.35960909360799526","0.23445440705130985","0.05187157194197714","0.15439704540129812","0.444948347968586","36.99816264688685","","-94.41677892604984","-1.5154251224292177","-14.249212461110115","-1.6861281255793354","-28.99448305370874","1.1328587782891262","0.04016905442030534","0.00001","3.1886171155910983","-0.6424641915630369","0.028755318769824945",""
"wine-quality-red-map-0c13","finished","-","","map, wine-quality-red","2024-11-12T19:20:13.000Z","1246","","gelu","full","256","0.5","data/","wine-quality-red","3","cpu","true","natural","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","50","map","1439","5000","5001","50","8","12452","Adam","1","0","11","Flipout","true","0","-3","0","75","5000","","","","","","","","","2.6470521476102327e-187","2.8207702401266295e-185","3.1013806465018723e-190","8.623372564982528e-183","4.6494537382751185e-123","3.9943284065285706e-184","0.07652619162103372","9.658873907386435e-122","100","-1.2557376168493788","-1.2557329296047868","-1.2555493858547555","-1.2557112825579364","-1.2557329296074364","1.117772245525745","1.431272635932526","0.00001","","1.4259546128248235","1.0000004955983175","1.4106184502746038"
"wine-quality-red-marglik-e52a","finished","-","","marglik, wine-quality-red","2024-11-12T18:04:58.000Z","4508","","silu","full","256","0.5","data/","wine-quality-red","2","cpu","true","meanvar","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","50","marglik","1439","5000","100","50","6","6752","Adam","1","0","11","Flipout","true","0","-3","0","75","5000","0.8861843943595886","1.2723793983459473","3.536532163619995","7.664603233337402","","","0.06771253794431686","0.10714645683765411","0.7163907598916966","0.48765754202197376","0.06622486922288334","0.02257030228530802","","","13.307216803635429","4.240120309562875","","-1.4062392275426705","-1.0714521624829358","-2.338064062182911","-1.1096421461906805","-1.1010835985667118","0.8119788719501878","-2.0969801028168815","0.00001","2.055960677322607","-2.660337475075875","0.442369589851581",""
"wine-quality-red-map-53b9","finished","-","","map, wine-quality-red","2024-11-12T17:50:32.000Z","859","","silu","full","256","0.5","data/","wine-quality-red","2","cpu","true","meanvar","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","50","map","1439","5000","5001","50","6","6752","Adam","1","0","11","Flipout","true","0","-3","0","75","5000","","","","","","","","","0.004663116853912713","0.0007998526227783826","0.0004373057036748262","0.0001520872189083623","","","0.1042224937136461","0.004604530544170039","100","-1.1176221748169677","-1.1166095374393614","-1.115939404027784","-1.1164801353627318","-1.1166627121328272","0.8317533989041715","1.3010830951200112","0.00001","","1.2038965153031582","0.6553228582433881","1.2347593847051206"
"wine-quality-red-marglik-e10c","finished","-","","marglik, wine-quality-red","2024-11-12T16:35:01.000Z","4524","","silu","full","256","0.5","data/","wine-quality-red","2","cpu","true","natural","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","50","marglik","1439","5000","100","50","6","6752","Adam","1","0","11","Flipout","true","0","-3","0","75","5000","0.6278694272041321","0.2758041322231293","0.4076150357723236","2.6533138751983643","","","0.05662016570568085","0.025569716468453407","0.7208060395919729","1.9905109607683884","0.27067400066890307","0.05550234069869511","","","1.1609086635336678","19.399182863503498","","-1.30922799493181","-1.0347735164677236","-2.475265047023128","-1.0831542051056768","-1.0370838401100042","0.8168937859947107","-0.8824046920563289","0.00001","1.6544443805852376","-1.3681471016176747","0.0003418838130433446",""
"wine-quality-red-map-f09f","finished","-","","map, wine-quality-red","2024-11-12T16:20:50.000Z","845","","silu","full","256","0.5","data/","wine-quality-red","2","cpu","true","natural","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","50","map","1439","5000","5001","50","6","6752","Adam","1","0","11","Flipout","true","0","-3","0","75","5000","","","","","","","","","0.01489536061286894","0.00980536283177324","0.01283519998555964","0.00095126481652462","","","0.03636700064254873","0.03522320446610316","10","-1.0763563544394614","-1.056120849356093","-1.0859579556032823","-1.0617428015154022","-1.0597379683135073","0.8407384479307597","1.1307928553049982","0.00001","","1.0582553018452976","0.5298799521407956","1.2361103624928376"
