"Name","State","Notes","User","Tags","Created","Runtime","Sweep","activation","approx","batch_size","beta","data_root","dataset","depth","device","double","head","head_activation","likelihood","lr","lr_hyp","lr_hyp_min","lr_min","marglik_early_stopping","marglik_frequency","method","n_data","n_epochs","n_epochs_burnin","n_hypersteps","n_param_groups","n_params","optimizer","prior_prec_init","rep","seed","typeofrep","use_wandb","vi_posterior_mu_init","vi_posterior_rho_init","vi_prior_mu","width","epoch","hyperparams/prior_prec_layer1.bias","hyperparams/prior_prec_layer1.weight","hyperparams/prior_prec_out_layer.bias","hyperparams/prior_prec_out_layer.weight","params/layer1.bias","params/layer1.weight","params/out_layer.bias","params/out_layer.weight","prior_prec_opt","test/loglik","test/loglik_bayes","test/loglik_bayes_mc","test/loglik_bayes_mc_lse","test/loglik_bayes_mean","test/mse","train/loss","train/lr","train/marglik","train/nll","train/perf","valid/nll"
"wine-quality-red-marglik-532d","failed","-","","marglik, wine-quality-red","2024-11-10T06:23:13.000Z","4","","gelu","kernel","256","0.5","data/","wine-quality-red","1","cpu","true","meanvar","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","150","marglik","1439","5000","100","150","4","702","Adam","1","0","11","Flipout","true","0","-3","0","50","149","","","","","0.21052058353738923","0.13697193718752854","0.013233352199525183","0.22437349529742823","","","","","","","","0.9028984649023376","0.00997812638591106","","0.865515260388933","0.5031174228415515",""
"wine-quality-red-map-a509","failed","-","","map, wine-quality-red","2024-11-10T06:22:16.000Z","50","","gelu","kernel","256","0.5","data/","wine-quality-red","1","cpu","true","meanvar","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","150","map","","5000","5001","150","","","Adam","1","0","11","Flipout","true","0","-3","0","50","","","","","","","","","","","","","","","","","","","","","",""
"wine-quality-red-marglik-4421","failed","-","","marglik, wine-quality-red","2024-11-10T06:22:06.000Z","4","","gelu","kernel","256","0.5","data/","wine-quality-red","1","cpu","true","natural","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","150","marglik","1439","5000","100","150","4","702","Adam","1","0","11","Flipout","true","0","-3","0","50","149","","","","","0.2361904338066293","0.17638646573964423","0.04100883908473264","0.3493952342302719","","","","","","","","0.9257878778207828","0.00997812638591106","","0.8762364870747635","0.3715540094333831",""
"wine-quality-red-map-f20d","failed","-","","map, wine-quality-red","2024-11-10T06:21:05.000Z","54","","gelu","kernel","256","0.5","data/","wine-quality-red","1","cpu","true","natural","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","150","map","","5000","5001","150","","","Adam","1","0","11","Flipout","true","0","-3","0","50","","","","","","","","","","","","","","","","","","","","","",""
"wine-quality-red-marglik-ea23","finished","-","","marglik, wine-quality-red","2024-11-10T06:20:00.000Z","58","","gelu","diag","256","0.5","data/","wine-quality-red","1","cpu","true","meanvar","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","150","marglik","1439","5000","100","150","4","702","Adam","1","0","11","Flipout","true","0","-3","0","50","5000","4.535886287689209","9.056011199951172","2875865.75","0.4270617365837097","0.183893779576508","0.09044264017329544","1.1335786936917282e-10","2.155406306063112","","-8.067724119323247","-1.0762654458368068","-1.5592277414763185","-1.132908828834814","-1.3651101858888546","0.8372666053921772","0.6081531316423877","0.00001","2.5057312192632377","0.4051539094587885","0.4713562167793648",""
"wine-quality-red-map-4b9f","finished","-","","map, wine-quality-red","2024-11-10T06:11:51.000Z","482","","gelu","diag","256","0.5","data/","wine-quality-red","1","cpu","true","meanvar","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","150","map","1439","5000","5001","150","4","702","Adam","1","0","11","Flipout","true","0","-3","0","50","5000","","","","","0.0029366116793874703","0.002024215143465066","0.014574999272666651","0.01054087931272373","100","-1.0620991933148554","-1.0617839333304917","-1.0611432201868711","-1.059180299751363","-1.0605806197221717","0.7795839791277668","1.2236046664303906","0.00001","","1.1421803479457566","0.5982913928064789","1.222798547218835"
"wine-quality-red-marglik-2678","finished","-","","marglik, wine-quality-red","2024-11-10T06:10:43.000Z","61","","gelu","diag","256","0.5","data/","wine-quality-red","1","cpu","true","natural","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","150","marglik","1439","5000","100","150","4","702","Adam","1","0","11","Flipout","true","0","-3","0","50","5000","116.70899200439452","830.89794921875","41936.19921875","0.030139122158288956","0.000998502455510211","0.00012492507621779037","2.637682421523275e-9","3.903245426171172","","-1.0503572920068405","-1.0472161450547417","-1.0834925671080482","-1.0466162473516385","-1.0470213523429628","0.7904705036459323","1.1475283951263655","0.00001","1.2294964549780627","1.1215793458082648","0.5792385857867922",""
"wine-quality-red-map-8ce2","finished","-","","map, wine-quality-red","2024-11-10T06:02:14.000Z","503","","gelu","diag","256","0.5","data/","wine-quality-red","1","cpu","true","natural","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","150","map","1439","5000","5001","150","4","702","Adam","1","0","11","Flipout","true","0","-3","0","50","5000","","","","","0.006322282493890966","0.0017445020436157735","0.1983131268796201","0.011083514114858426","100","-1.0654954750975298","-1.0662813997421303","-1.0669779578626548","-1.0655822220920084","-1.0659994251322888","0.8017668770135918","1.2813655596329636","0.00001","","1.1847507960337618","0.615967485803017","1.2165650685904934"
"wine-quality-red-marglik-126d","finished","-","","marglik, wine-quality-red","2024-11-10T06:01:10.000Z","57","","gelu","kron","256","0.5","data/","wine-quality-red","1","cpu","true","meanvar","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","150","marglik","1439","5000","100","150","4","702","Adam","1","0","11","Flipout","true","0","-3","0","50","5000","3.33960485458374","6.737176418304443","1206832.25","0.4181326627731323","0.230219066040953","0.11231735319941367","2.5396960884021595e-11","1.9585108693598208","","-7.417168457930879","-1.0968568868321504","-1.5110323582230532","-1.1395331494745686","-1.6744976392728042","0.869242359804432","0.5539741790164602","0.00001","2.079969747261813","0.36755344579867977","0.4741372644032406",""
"wine-quality-red-map-79f1","finished","-","","map, wine-quality-red","2024-11-10T05:53:02.000Z","481","","gelu","kron","256","0.5","data/","wine-quality-red","1","cpu","true","meanvar","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","150","map","1439","5000","5001","150","4","702","Adam","1","0","11","Flipout","true","0","-3","0","50","5000","","","","","0.0029366116793874703","0.002024215143465066","0.014574999272666651","0.01054087931272373","100","-1.0620991933148554","-1.0624757072390687","-1.0614020870607486","-1.0592696499058996","-1.0609973573581866","0.7795839791277668","1.2236046664303906","0.00001","","1.1421803479457566","0.5982913928064789","1.222798547218835"
"wine-quality-red-marglik-a2bc","finished","-","","marglik, wine-quality-red","2024-11-10T05:51:55.000Z","61","","gelu","kron","256","0.5","data/","wine-quality-red","1","cpu","true","natural","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","150","marglik","1439","5000","100","150","4","702","Adam","1","0","11","Flipout","true","0","-3","0","50","5000","11.342924118041992","9.827231407165527","28870.71875","0.12648464739322662","0.06644859370828232","0.0730732520011942","3.1047306695331373e-10","6.254716743320298","","-1.2289016714211876","-1.146109088312096","-1.5291842117090222","-1.1493445753078382","-1.1304090598950984","0.7852533832526152","0.9268851239311684","0.00001","1.671383501609652","0.7490679101431164","0.3018418653156122",""
"wine-quality-red-map-3388","finished","-","","map, wine-quality-red","2024-11-10T05:43:12.000Z","516","","gelu","kron","256","0.5","data/","wine-quality-red","1","cpu","true","natural","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","150","map","1439","5000","5001","150","4","702","Adam","1","0","11","Flipout","true","0","-3","0","50","5000","","","","","0.006322282493890966","0.0017445020436157735","0.1983131268796201","0.011083514114858426","100","-1.0654954750975298","-1.0661218392876328","-1.0666325171679716","-1.0651971345874125","-1.0658590442914726","0.8017668770135918","1.2813655596329636","0.00001","","1.1847507960337618","0.615967485803017","1.2165650685904934"
"wine-quality-red-marglik-67ef","finished","-","","marglik, wine-quality-red","2024-11-10T05:41:51.000Z","75","","gelu","full","256","0.5","data/","wine-quality-red","1","cpu","true","meanvar","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","150","marglik","1439","5000","100","150","4","702","Adam","1","0","11","Flipout","true","0","-3","0","50","5000","1.773029327392578","4.242154598236084","10.596487045288086","0.35949522256851196","0.4348232022989408","0.17544655840325846","0.04677351761468897","2.1257675034000845","","-31.822640790507045","-1.094453520490855","-1.7429136803754086","-1.103706450227257","-1.2200020975490309","0.9020412564775718","0.3956907440443283","0.00001","1.47998379546511","0.2131655629439597","0.479356562601733",""
"wine-quality-red-map-d00b","finished","-","","map, wine-quality-red","2024-11-10T05:33:59.000Z","466","","gelu","full","256","0.5","data/","wine-quality-red","1","cpu","true","meanvar","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","150","map","1439","5000","5001","150","4","702","Adam","1","0","11","Flipout","true","0","-3","0","50","5000","","","","","0.0029366116793874703","0.002024215143465066","0.014574999272666651","0.01054087931272373","100","-1.0620991933148554","-1.0620945410445617","-1.0616499281917473","-1.059961196162106","-1.0612699887134602","0.7795839791277668","1.2236046664303906","0.00001","","1.1421803479457566","0.5982913928064789","1.222798547218835"
