"Name","State","Notes","User","Tags","Created","Runtime","Sweep","activation","approx","batch_size","beta","data_root","dataset","depth","device","double","head","head_activation","likelihood","lr","lr_hyp","lr_hyp_min","lr_min","marglik_early_stopping","marglik_frequency","method","n_data","n_epochs","n_epochs_burnin","n_hypersteps","n_param_groups","n_params","optimizer","prior_prec_init","rep","seed","typeofrep","use_wandb","vi_posterior_mu_init","vi_posterior_rho_init","vi_prior_mu","width","epoch","hyperparams/prior_prec_layer1.bias","hyperparams/prior_prec_layer1.weight","hyperparams/prior_prec_out_layer.bias","hyperparams/prior_prec_out_layer.weight","params/layer1.bias","params/layer1.weight","params/out_layer.bias","params/out_layer.weight","prior_prec_opt","test/loglik","test/loglik_bayes","test/loglik_bayes_mc","test/loglik_bayes_mc_lse","test/loglik_bayes_mean","test/mse","train/loss","train/lr","train/marglik","train/nll","train/perf","valid/nll"
"wine-quality-red-marglik-14f4","finished","-","","marglik, wine-quality-red","2024-11-12T17:35:00.000Z","56","","gelu","full","512","0.5","data/","wine-quality-red","1","cpu","true","meanvar","softplus","heteroscedastic","0.1","0.1","0.01","0.0001","true","50","marglik","1439","5000","100","50","4","702","Adam","1","0","6","Flipout","true","0","-3","0","50","5000","0.027372177690267563","0.06530022621154785","0.14956891536712646","0.03941335156559944","24.226891226034095","9.21865059550933","5.0951531403653","11.97450787139993","","-1.1745113123966078","-0.8573523932791816","-1.0840575131946464","-0.8542985736361175","-0.8565854882105567","0.5613281110406486","2.5273094543539645","0.0001","3.2968504069259352","2.383824351848328","12.08153208595078",""
"wine-quality-red-map-a2c1","finished","-","","map, wine-quality-red","2024-11-12T17:29:54.000Z","300","","gelu","full","512","0.5","data/","wine-quality-red","1","cpu","true","meanvar","softplus","heteroscedastic","0.1","0.1","0.01","0.0001","true","50","map","1439","5000","5001","50","4","702","Adam","1","0","6","Flipout","true","0","-3","0","50","5000","","","","","0.0029320774377072103","0.002013907836288692","0.013292020411052666","0.010367878384761532","100","-0.878472291946759","-0.878481674544709","-0.8772360051544386","-0.8777437395935859","-0.8768344628011289","0.5672343507490327","1.2270856905639125","0.0001","","1.1465558746824411","0.6084610411542581","1.2546642152303054"
"wine-quality-red-marglik-76ad","finished","-","","marglik, wine-quality-red","2024-11-12T17:28:50.000Z","58","","gelu","full","512","0.5","data/","wine-quality-red","1","cpu","true","natural","softplus","heteroscedastic","0.1","0.1","0.01","0.0001","true","50","marglik","1439","5000","100","50","4","702","Adam","1","0","6","Flipout","true","0","-3","0","50","5000","0.4545215368270874","3.666100263595581","0.21603018045425415","0.03794363886117935","1.9559552626953112","0.21704481624321512","3.095729948679228","21.056640066774268","","-0.9987337822210244","-0.8947122306756592","-1.24441720391949","-0.9013868798212508","-0.8910054306532388","0.6921154283879084","0.6573268808371404","0.0001","1.500067697246904","0.4615992768492768","0.17896312011055182",""
"wine-quality-red-map-c3c3","finished","-","","map, wine-quality-red","2024-11-12T17:23:23.000Z","321","","gelu","full","512","0.5","data/","wine-quality-red","1","cpu","true","natural","softplus","heteroscedastic","0.1","0.1","0.01","0.0001","true","50","map","1439","5000","5001","50","4","702","Adam","1","0","6","Flipout","true","0","-3","0","50","5000","","","","","0.01550285123663147","0.015651328984026377","0.4225414904714098","0.06187764469691233","10","-0.871653081201134","-0.8705020445062519","-0.912715388569792","-0.873286057423633","-0.8692090996062019","0.5520047717065153","1.122594397223024","0.0001","","1.0655539246785843","0.5326964169312312","1.1755496409607753"
"wine-quality-red-marglik-fe4c","finished","-","","marglik, wine-quality-red","2024-11-12T17:21:53.000Z","84","","gelu","full","256","0.5","data/","wine-quality-red","1","cpu","true","meanvar","softplus","heteroscedastic","0.1","0.1","0.01","0.0001","true","50","marglik","1439","5000","100","50","4","702","Adam","1","0","6","Flipout","true","0","-3","0","50","5000","0.028694523498415947","0.078227698802948","0.08048947900533676","0.010771229863166807","21.05250047348898","6.966189819358415","3.560189983944058","59.09728565891783","","-1.3507838980960278","-0.857964265364601","-1.214482175843619","-0.8550944354099151","-0.9025049761574224","0.49401357435196874","3.794011670809773","0.0001","4.379699605691879","3.657071395103328","138.1229643853184",""
"wine-quality-red-map-1b39","finished","-","","map, wine-quality-red","2024-11-12T17:12:58.000Z","529","","gelu","full","256","0.5","data/","wine-quality-red","1","cpu","true","meanvar","softplus","heteroscedastic","0.1","0.1","0.01","0.0001","true","50","map","1439","5000","5001","50","4","702","Adam","1","0","6","Flipout","true","0","-3","0","50","5000","","","","","0.002835390168306515","0.0019991207735445605","0.012619595332974291","0.0102816132535948","100","-0.8805766169046578","-0.8806936039563029","-0.8793702284197706","-0.879934314770453","-0.8789683416388664","0.5707969621048925","1.2293265013502643","0.0001","","1.1495934801688017","0.6103129159278493","1.251667676120491"
"wine-quality-red-marglik-b15a","finished","-","","marglik, wine-quality-red","2024-11-12T17:11:26.000Z","86","","gelu","full","256","0.5","data/","wine-quality-red","1","cpu","true","natural","softplus","heteroscedastic","0.1","0.1","0.01","0.0001","true","50","marglik","1439","5000","100","50","4","702","Adam","1","0","6","Flipout","true","0","-3","0","50","5000","0.18382252752780912","3.538266658782959","0.03788088262081146","0.010433454066514967","4.5675490694859455","0.2083813729717203","24.185658727652108","71.18656398323687","","-1.0432931827724663","-0.9722045026528034","-1.1163067561242437","-0.942488640699548","-0.972519629346986","0.5929805509276591","0.66082748134758","0.0001","1.4498264298339958","0.47889311314933336","0.2081598931881924",""
"wine-quality-red-map-daed","finished","-","","map, wine-quality-red","2024-11-12T17:01:33.000Z","587","","gelu","full","256","0.5","data/","wine-quality-red","1","cpu","true","natural","softplus","heteroscedastic","0.1","0.1","0.01","0.0001","true","50","map","1439","5000","5001","50","4","702","Adam","1","0","6","Flipout","true","0","-3","0","50","5000","","","","","0.006262169944008272","0.0017056831194763192","0.1903587800909959","0.010740528192010702","100","-0.9386104994499298","-0.9384058906148102","-0.938614739045492","-0.9386154052891412","-0.9381680013689576","0.5820257052139554","1.285241065212908","0.0001","","1.191216553552394","0.6274267194497194","1.2858168763337985"
"wine-quality-red-marglik-0da9","finished","-","","marglik, wine-quality-red","2024-11-12T16:59:23.000Z","124","","gelu","full","128","0.5","data/","wine-quality-red","1","cpu","true","meanvar","softplus","heteroscedastic","0.1","0.1","0.01","0.0001","true","50","marglik","1439","5000","100","50","4","702","Adam","1","0","6","Flipout","true","0","-3","0","50","5000","0.022387756034731865","0.025488795712590218","0.0012505787890404465","0.013182192109525204","35.602199379793966","28.68569314776453","211.0656554231294","50.49782529308755","","-3.1822994224291716","-3.1505153788936857","-3.701748126010802","-3.210530017025764","-3.1755789742449805","53.04320215471389","4.867169015938268","0.0001","5.569340564999225","4.690355742711369","795.795482117784",""
"wine-quality-red-map-bd15","finished","-","","map, wine-quality-red","2024-11-12T16:45:52.000Z","805","","gelu","full","128","0.5","data/","wine-quality-red","1","cpu","true","meanvar","softplus","heteroscedastic","0.1","0.1","0.01","0.0001","true","50","map","1439","5000","5001","50","4","702","Adam","1","0","6","Flipout","true","0","-3","0","50","5000","","","","","0.0030345101933273166","0.0021229223668507383","0.01293140538495056","0.010773496437407208","100","-0.8714063085226971","-0.8720289467455982","-0.8709698239864262","-0.8710782879699804","-0.8699877623176365","0.5626303730605783","1.2277827981135263","0.0001","","1.1436047098259663","0.6070908486774332","1.1835633153872218"
"wine-quality-red-marglik-e53e","finished","-","","marglik, wine-quality-red","2024-11-12T16:43:38.000Z","128","","gelu","full","128","0.5","data/","wine-quality-red","1","cpu","true","natural","softplus","heteroscedastic","0.1","0.1","0.01","0.0001","true","50","marglik","1439","5000","100","50","4","702","Adam","1","0","6","Flipout","true","0","-3","0","50","5000","0.024310575798153877","0.02853468619287014","0.003079339861869812","0.008706530556082726","35.29254904978326","29.501397499678628","189.0145520863628","108.2802965131433","","-50798577620.314926","-57.60608853388972","-57.49804742720831","-20021676555.33331","-58.41951344086395","10159715458531475000","128.61831509186314","0.0001","129.9381305689925","128.40943045383307","1.292439802143849",""
"wine-quality-red-map-af9e","finished","-","","map, wine-quality-red","2024-11-12T16:29:32.000Z","840","","gelu","full","128","0.5","data/","wine-quality-red","1","cpu","true","natural","softplus","heteroscedastic","0.1","0.1","0.01","0.0001","true","50","map","1439","5000","5001","50","4","702","Adam","1","0","6","Flipout","true","0","-3","0","50","5000","","","","","0.006575784044503502","0.0018166437500580493","0.18345844782775692","0.01132674289901672","100","-0.9310371457885912","-0.9312226330472008","-0.9317007375843626","-0.931426430622318","-0.930897472502156","0.5738706082806471","1.2844686825661935","0.0001","","1.1862196189511915","0.6235983063378607","1.2471666262670362"
"wine-quality-red-marglik-2996","finished","-","","marglik, wine-quality-red","2024-11-12T16:28:30.000Z","55","","gelu","full","512","0.5","data/","wine-quality-red","1","cpu","true","meanvar","softplus","heteroscedastic","0.1","0.1","0.001","0.0001","true","50","marglik","1439","5000","100","50","4","702","Adam","1","0","6","Flipout","true","0","-3","0","50","5000","0.04377487674355507","0.21144253015518188","0.10648086667060852","0.2647939622402191","20.65121229608189","4.09173531594647","4.5759796416828475","3.4165824821034216","","-1.818775891099761","-0.8457338068069156","-1.021068476585261","-0.7595200312695587","-1.055555666660495","0.5340936821602355","1.586891583866587","0.0001","2.9065235832922736","1.3742033175215262","3.528384088440826",""
"wine-quality-red-map-3248","finished","-","","map, wine-quality-red","2024-11-12T16:22:31.000Z","352","","gelu","full","512","0.5","data/","wine-quality-red","1","cpu","true","meanvar","softplus","heteroscedastic","0.1","0.1","0.001","0.0001","true","50","map","1439","5000","5001","50","4","702","Adam","1","0","6","Flipout","true","0","-3","0","50","5000","","","","","0.0029320774377072103","0.002013907836288692","0.013292020411052666","0.010367878384761532","100","-0.878472291946759","-0.878481674544709","-0.8772360051544386","-0.8777437395935859","-0.8768344628011289","0.5672343507490327","1.2270856905639125","0.0001","","1.1465558746824411","0.6084610411542581","1.2546642152303054"
"wine-quality-red-marglik-abf4","finished","-","","marglik, wine-quality-red","2024-11-12T16:21:29.000Z","56","","gelu","full","512","0.5","data/","wine-quality-red","1","cpu","true","natural","softplus","heteroscedastic","0.1","0.1","0.001","0.0001","true","50","marglik","1439","5000","100","50","4","702","Adam","1","0","6","Flipout","true","0","-3","0","50","5000","0.5592575073242188","3.2403881549835205","0.12202271819114684","0.03446292132139206","1.5558996277230108","0.2455770677170172","6.5839466283003265","23.162396554388632","","-0.9987337822210244","-0.8947122276000131","-1.2445244230151338","-0.901386887950044","-0.8910054258794547","0.6921154283879084","0.6274944563413095","0.0001","1.4982096823373443","0.4320154396687418","0.16594584172672033",""
