,Objective,Regularization,Posterior Predictive,boston-housing,concrete,energy,kin8nm,naval-propulsion-plant,power-plant,wine-quality-red,yacht
0,Homoscedastic,EB,Y,-2.64 (0.24),-3.04 (0.12),-0.71 (0.18),1.29 (0.03),5.62 (1.69),-2.80 (0.04),-0.96 (0.09),-1.08 (0.75)
1,Naive NLL,GS,N,-2.79 (0.23),-3.32 (0.22),-2.20 (2.17),1.34 (0.05),-14.25 (23.68),-2.84 (0.14),-0.94 (0.08),-10.40 (11.74)
2,β-NLL (0.5),GS,N,-2.75 (0.34),-3.35 (0.32),-1.17 (0.44),1.31 (0.04),4.52 (2.06),-2.89 (0.22),-0.97 (0.09),-1.18 (1.63)
3,β-NLL (1.0),GS,N,-2.77 (0.36),-3.19 (0.16),-1.13 (0.40),1.28 (0.03),6.88 (0.36),-2.87 (0.15),-0.93 (0.08),-2.73 (2.43)
4,Faithful,GS,N,-3.30 (0.39),-3.72 (0.08),-2.28 (0.10),0.19 (0.02),5.13 (0.08),-2.92 (0.03),-1.00 (0.12),-3.54 (0.12)
5,MC-Dropout,GS,N,-2.93 (0.48),-3.05 (0.08),-1.62 (0.08),1.17 (0.02),5.57 (0.10),-2.81 (0.05),-1.44 (0.44),-1.09 (0.24)
6,VI,GS,N,-2.66 (0.35),-3.10 (0.18),-1.55 (0.14),1.31 (0.03),5.60 (0.95),-2.82 (0.07),-1.09 (0.33),-1.18 (0.22)
7,Naive NLL,EB,Y,-2.73 (0.21),-3.09 (0.08),-2.06 (0.04),1.34 (0.02),6.06 (0.22),-2.79 (0.04),-0.97 (0.09),-2.36 (0.12)
8,Naive NLL,EB,N,-34.38 (68.50),-4.83 (3.04),-1.19 (0.99),1.37 (0.03),-24.72 (64.81),-2.79 (0.07),-2.36 (1.35),-2.20 (3.13)
9,Natural NLL,GS,Y,-2.52 (0.18),-2.97 (0.17),-1.41 (0.19),1.31 (0.04),6.33 (0.07),-2.75 (0.04),-0.93 (0.08),-1.29 (0.26)
10,Natural NLL,GS,N,-2.78 (0.50),-2.96 (0.20),-0.72 (0.26),1.31 (0.05),6.70 (0.03),-2.74 (0.05),-0.94 (0.08),-0.41 (0.28)
11,Natural NLL,EB,Y,-2.50 (0.18),-2.95 (0.08),-1.20 (0.05),1.35 (0.03),6.51 (0.03),-2.75 (0.04),-0.95 (0.09),-1.12 (0.05)
12,Natural NLL,EB,N,-2.76 (0.49),-2.97 (0.13),-0.63 (0.21),1.35 (0.04),6.69 (0.03),-2.74 (0.04),-1.01 (0.11),-0.71 (0.32)
