,Objective,Regularization,Posterior Predictive,mnist,fmnist,cifar10
0,Homoscedastic,EB,Y,-5.64 (0.01),-5.56 (0.01),-5.78 (0.00)
1,Naive NLL,GS,N,-5.55 (0.00),-5.37 (0.01),-5.67 (0.00)
2,$\beta$-NLL (0.5),GS,N,-5.41 (0.02),-5.44 (0.02),-5.76 (0.02)
3,$\beta$-NLL (1.0),GS,N,-5.38 (0.02),-5.49 (0.02),-5.71 (0.02)
4,Faithful,GS,N,-5.54 (0.01),-5.69 (0.09),-5.73 (0.00)
5,MC-Dropout,GS,N,-5.43 (0.01),-5.37 (0.00),-6.72 (0.15)
6,VI,GS,N,-5.38 (0.01),-5.38 (0.01),-5.79 (0.01)
7,Naive NLL,EB,Y,-5.34 (0.01),-5.38 (0.02),-5.68 (0.01)
8,Naive NLL,EB,N,-5.32 (0.00),-5.35 (0.00),-5.68 (0.01)
9,Natural NLL,GS,Y,-5.42 (0.01),-5.39 (0.02),-5.67 (0.00)
10,Natural NLL,GS,N,-5.42 (0.01),-5.43 (0.01),-5.67 (0.00)
11,Natural NLL,EB,Y,-5.31 (0.02),-5.35 (0.00),-5.68 (0.00)
12,Natural NLL,EB,N,-5.31 (0.01),-5.35 (0.00),-5.68 (0.00)
