,Objective,Regularization,Posterior Predictive,mnist,fmnist,cifar10,mnist-test/rmse,fmnist-test/rmse,cifar10-test/rmse,mnist-test/kl_div,fmnist-test/kl_div,cifar10-test/kl_div
0,Homoscedastic,EB,Y,-9.99 (4.46),-4.45 (0.08),-5.37 (0.00),13.84 (0.21),13.97 (0.01),52.12 (0.03),6.68 (4.29),1.30 (0.07),2.21 (0.00)
1,Naive NLL,GS,N,-25492.14 (23369.39),-5.25 (0.20),-7.69 (0.04),14.56 (0.23),13.87 (0.17),41.36 (0.01),nan (nan),2.08 (0.21),4.54 (0.04)
2,$\beta$-NLL (0.5),GS,N,-4.01 (0.06),-4.02 (0.01),-5.18 (0.05),14.90 (0.55),16.36 (0.10),42.51 (1.74),0.84 (0.06),0.85 (0.01),2.02 (0.05)
3,$\beta$-NLL (1.0),GS,N,-4.24 (0.04),-4.03 (0.02),-5.14 (0.03),17.51 (1.00),13.96 (0.20),42.22 (0.05),1.07 (0.05),0.86 (0.02),1.98 (0.03)
4,Faithful,GS,N,-4.23 (0.08),-4.38 (0.12),-5.32 (0.00),16.48 (1.04),18.35 (3.38),42.98 (0.00),1.06 (0.09),1.22 (0.12),2.15 (0.00)
5,MC-Dropout,GS,N,-4.13 (0.00),-3.76 (0.05),-6.39 (0.18),17.09 (0.10),16.16 (0.53),193.91 (24.30),0.96 (0.01),0.60 (0.06),3.23 (0.18)
6,VI,GS,N,-4.18 (0.01),-4.18 (0.28),-5.07 (0.02),15.89 (0.09),21.90 (3.73),38.55 (1.15),1.02 (0.02),1.02 (0.28),1.91 (0.01)
7,Naive NLL,EB,Y,-3.94 (0.01),-3.88 (0.03),-5.07 (0.01),14.28 (0.01),15.11 (0.14),39.57 (0.34),0.77 (0.01),0.64 (0.02),1.84 (0.00)
8,Naive NLL,EB,N,-4.88 (0.49),-4.12 (0.17),-5.27 (0.11),33.59 (18.56),14.26 (0.01),47.49 (4.66),1.70 (0.51),0.93 (0.18),2.10 (0.11)
9,Natural NLL,GS,Y,-4.16 (0.02),-3.68 (0.00),-4.92 (0.00),16.14 (0.39),14.64 (0.31),36.36 (0.06),0.99 (0.02),0.63 (0.01),1.76 (0.01)
10,Natural NLL,GS,N,-4.16 (0.02),-3.81 (0.01),-4.93 (0.00),16.14 (0.39),14.64 (0.31),36.36 (0.06),0.99 (0.02),0.63 (0.01),1.76 (0.01)
11,Natural NLL,EB,Y,-3.82 (0.04),-3.67 (0.01),-5.73 (0.36),13.02 (0.05),14.91 (0.09),45.53 (6.63),0.88 (0.12),0.61 (0.03),3.57 (1.35)
12,Natural NLL,EB,N,-4.06 (0.09),-3.78 (0.02),-6.71 (1.33),13.02 (0.05),14.91 (0.09),45.53 (6.63),0.88 (0.12),0.61 (0.03),3.57 (1.35)
