,Objective,Regularization,Posterior Predictive,mnist,fmnist,cifar10
0,Homoscedastic,EB,Y,-4.48 (0.18),-4.36 (0.02),-5.38 (0.00)
1,Naive NLL,GS,N,-5.38 (0.00),-4.22 (0.04),-5.38 (0.00)
2,$\beta$-NLL (0.5),GS,N,-4.35 (0.15),-4.28 (0.00),-5.16 (0.03)
3,$\beta$-NLL (1.0),GS,N,-4.34 (0.08),-4.24 (0.01),-5.16 (0.06)
4,Faithful,GS,N,-4.31 (0.05),-4.56 (0.01),-5.39 (0.21)
5,MC-Dropout,GS,N,-4.26 (0.06),-4.04 (0.00),-7.26 (0.97)
6,VI,GS,N,-4.31 (0.00),-4.17 (0.12),-5.39 (0.00)
7,Naive NLL,EB,Y,-4.17 (0.03),-4.18 (0.03),-5.05 (0.01)
8,Naive NLL,EB,N,-4.17 (0.00),-4.07 (0.02),-5.03 (0.01)
9,Natural NLL,GS,Y,-4.29 (0.01),-4.03 (0.03),-4.96 (0.00)
10,Natural NLL,GS,N,-4.28 (0.01),-4.09 (0.01),-4.96 (0.00)
11,Natural NLL,EB,Y,-4.14 (0.02),-4.02 (0.01),-5.09 (0.04)
12,Natural NLL,EB,N,-4.15 (0.02),-4.05 (0.01),-5.18 (0.06)
