,Objective,Regularization,Posterior Predictive,boston-housing,concrete,energy,kin8nm,naval-propulsion-plant,power-plant,wine-quality-red,yacht
0,Homoscedastic,EB,Y,-2.886 (0.393),-3.086 (0.164),-0.772 (0.225),1.287 (0.028),4.736 (2.633),-2.804 (0.043),-0.993 (0.106),-1.732 (1.432)
1,Naive NLL,GS,N,-2.787 (0.231),-3.325 (0.218),-1.501 (1.207),1.335 (0.045),3.263 (1.814),-2.838 (0.139),-0.941 (0.077),-2.783 (1.185)
2,$\beta$-NLL (0.5),GS,N,-2.746 (0.338),-3.347 (0.324),-1.173 (0.443),1.305 (0.039),4.518 (2.055),-2.891 (0.218),-0.968 (0.087),-1.177 (1.634)
3,$\beta$-NLL (1.0),GS,N,-2.772 (0.357),-3.194 (0.155),-1.131 (0.402),1.285 (0.025),6.883 (0.360),-2.869 (0.149),-0.933 (0.078),-1.449 (1.106)
4,Faithful,GS,N,-3.296 (0.385),-3.724 (0.077),-2.281 (0.100),0.193 (0.017),5.125 (0.080),-2.925 (0.034),-0.999 (0.120),-3.543 (0.123)
5,MC-Dropout,GS,N,-2.932 (0.478),-3.048 (0.076),-1.618 (0.083),1.168 (0.024),5.573 (0.100),-2.810 (0.049),-1.439 (0.440),-1.085 (0.235)
6,VI,GS,N,-2.664 (0.347),-3.098 (0.179),-1.547 (0.136),1.308 (0.031),5.603 (0.946),-2.824 (0.066),-1.092 (0.331),-1.177 (0.216)
7,Naive NLL,EB,Y,-2.732 (0.208),-3.093 (0.076),-2.064 (0.035),1.344 (0.020),6.062 (0.219),-2.793 (0.036),-0.969 (0.089),-2.361 (0.122)
8,Naive NLL,EB,N,-3.246 (0.525),-3.218 (0.166),-1.194 (0.992),1.366 (0.028),2.045 (3.278),-2.794 (0.074),-2.361 (1.352),-1.133 (1.451)
9,Natural NLL,GS,Y,-2.515 (0.182),-2.966 (0.173),-1.406 (0.190),1.313 (0.039),6.334 (0.069),-2.748 (0.045),-0.934 (0.079),-1.289 (0.263)
10,Natural NLL,GS,N,-2.784 (0.501),-2.961 (0.195),-0.718 (0.260),1.305 (0.046),6.702 (0.032),-2.744 (0.053),-0.943 (0.081),-0.409 (0.282)
11,Natural NLL,EB,Y,-2.502 (0.183),-2.946 (0.082),-1.203 (0.050),1.354 (0.034),6.514 (0.031),-2.748 (0.037),-0.951 (0.091),-1.116 (0.053)
12,Natural NLL,EB,N,-2.756 (0.487),-2.967 (0.129),-0.631 (0.210),1.351 (0.040),6.688 (0.033),-2.743 (0.042),-1.005 (0.111),-0.705 (0.315)
