"Name","State","Notes","User","Tags","Created","Runtime","Sweep","activation","approx","batch_size","beta","data_root","dataset","device","double","download_data","head","head_activation","het_noise","likelihood","lr","lr_hyp","lr_hyp_min","lr_min","marglik_early_stopping","marglik_frequency","method","method_name","model","n_data","n_epochs","n_epochs_burnin","n_epochs_val","n_hypersteps","n_param_groups","n_params","optimizer","prior_prec_init","seed","typeofrep","use_wandb","vi_posterior_mu_init","vi_posterior_rho_init","vi_prior_mu","epoch","hyperparams/prior_prec_conv1.bias","hyperparams/prior_prec_conv1.weight","hyperparams/prior_prec_conv2.bias","hyperparams/prior_prec_conv2.weight","hyperparams/prior_prec_conv3.bias","hyperparams/prior_prec_conv3.weight","hyperparams/prior_prec_layer1.bias","hyperparams/prior_prec_layer1.weight","hyperparams/prior_prec_layer2.bias","hyperparams/prior_prec_layer2.weight","hyperparams/prior_prec_layer3.bias","hyperparams/prior_prec_layer3.weight","hyperparams/prior_prec_lin1.bias","hyperparams/prior_prec_lin1.weight","hyperparams/prior_prec_lin2.bias","hyperparams/prior_prec_lin2.weight","hyperparams/prior_prec_linout.bias","hyperparams/prior_prec_linout.weight","hyperparams/prior_prec_out_layer.bias","hyperparams/prior_prec_out_layer.weight","hyperparams/sigma_noise","params/conv1.bias","params/conv1.mu_bias","params/conv1.mu_kernel","params/conv1.rho_bias","params/conv1.rho_kernel","params/conv1.weight","params/conv2.bias","params/conv2.mu_bias","params/conv2.mu_kernel","params/conv2.rho_bias","params/conv2.rho_kernel","params/conv2.weight","params/conv3.bias","params/conv3.mu_bias","params/conv3.mu_kernel","params/conv3.rho_bias","params/conv3.rho_kernel","params/conv3.weight","params/layer1.bias","params/layer1.mu_bias","params/layer1.mu_weight","params/layer1.rho_bias","params/layer1.rho_weight","params/layer1.weight","params/layer2.bias","params/layer2.mu_bias","params/layer2.mu_weight","params/layer2.rho_bias","params/layer2.rho_weight","params/layer2.weight","params/layer3.bias","params/layer3.mu_bias","params/layer3.mu_weight","params/layer3.rho_bias","params/layer3.rho_weight","params/layer3.weight","params/lin1.bias","params/lin1.mu_bias","params/lin1.mu_weight","params/lin1.rho_bias","params/lin1.rho_weight","params/lin1.weight","params/lin2.bias","params/lin2.mu_bias","params/lin2.mu_weight","params/lin2.rho_bias","params/lin2.rho_weight","params/lin2.weight","params/linout.bias","params/linout.mu_bias","params/linout.mu_weight","params/linout.rho_bias","params/linout.rho_weight","params/linout.weight","params/out_layer.bias","params/out_layer.mu_bias","params/out_layer.mu_weight","params/out_layer.rho_bias","params/out_layer.rho_weight","params/out_layer.weight","params/out_layer_mu.bias","params/out_layer_mu.weight","params/out_layer_var.bias","params/out_layer_var.weight","params/z_layer.conv1.bias","params/z_layer.conv1.weight","params/z_layer.conv2.bias","params/z_layer.conv2.weight","params/z_layer.conv3.bias","params/z_layer.conv3.weight","params/z_layer.layer1.bias","params/z_layer.layer1.weight","params/z_layer.layer2.bias","params/z_layer.layer2.weight","params/z_layer.lin1.bias","params/z_layer.lin1.weight","params/z_layer.lin2.bias","params/z_layer.lin2.weight","prior_prec_opt","test/acc","test/aleatoric_corr","test/kl_div","test/loglik","test/loglik_bayes","test/loglik_bayes_mc","test/loglik_bayes_mc_lse","test/loglik_bayes_mean","test/mse","test/predictive_corr","test/rmse","test/rmse_rot","timing/mapred_sec","timing/predictive_mc_sec","timing/predictive_mean_sec","timing/predictive_natural_sec","timing/predictive_sec","train/acc","train/loss","train/lr","train/marglik","train/nll","train/perf","valid/nll","valnll/prior_prec_0.01","valnll/prior_prec_0.1","valnll/prior_prec_1.0","valnll/prior_prec_10.0","valnll/prior_prec_100.0","valnll/prior_prec_1000.0","valnll/prior_prec_10000.0"
"cifar10-marglik-6ebd","finished","-","","cifar10, marglik","2024-11-08T20:32:46.000Z","263","","relu","kron","128","0","data/","cifar10","cuda","false","false","meanvar","softplus","neither","heteroscedastic","0.1","0.1","0.1","0.0001","true","5","marglik","marglik-het-meanvar","mlp","50000","100","10","100","50","8","2038502","SGD","1","711","Flipout","true","0","-3","0","100","","","","","","","97287.328125","469.1713562011719","7934.0283203125","860.3189697265625","0.3958275318145752","1.4128658771514893","","","","","","","0.16628654301166534","0.06545152515172958","","","","","","","","","","","","","","","","","","","","1.822881017687905e-9","","","","","0.00005078519384066264","0.000007134882267564535","","","","","0.000056560222625732425","0.20152099609375","","","","","0.0083748681640625","","","","","","","","","","","","","","","","","","","6.007873058319092","","","","","1.22313623046875","","","","","","","","","","","","","","","","","","","","0.2546","-0.12505050043679108","1.302291989326477","-5.020096311950684","-5.044982888793947","-5.299656346130369","-5.008309042358398","-5.006163069915772","1521.9818115234375","-0.055158608828298865","39.0125846862793","37.760860443115234","0.000255584716796875","0.06986474990844727","0.003730535507202149","0.00472712516784668","","0.26496","0.614461939581824","0.0001","1.6120843887329102","0.18807503499943393","0.2185095250606537","","","","","","","",""
"cifar10-map-a4e2","finished","-","","cifar10, map","2024-11-08T20:18:11.000Z","870","","relu","kron","128","0","data/","cifar10","cuda","false","false","meanvar","softplus","neither","heteroscedastic","0.1","0.1","0.1","0.0001","true","5","map","map-het-meanvar","mlp","50000","100","101","100","50","8","2038502","SGD","1","711","Flipout","true","0","-3","0","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","0","0","","","","","0","0","","","","","0","","","","","","","","","","","","","","","","","","","0.12180764973163603","","","","","0","","","","","","","","","","","","","","","","","","","1000","0.1","","1.6609773635864258","-5.382171676635742","-5.3821713066101085","-5.382168309020995","-5.382179338073731","-5.3821713066101085","2768.761962890625","","52.61902618408203","51.677284240722656","0.00025582313537597656","0.06985282897949219","0.003665447235107422","0.0049571990966796875","","0.1","1.4215762785938393","0.0001","","1.4191382525826954","0.9999892711639404","1.408945918083191","10.846359252929688","1.7899707555770874","10.916120529174805","14.582613945007324","2.6276042461395264","1.408945918083191","1.414761662483215"
"cifar10-marglik-58c9","finished","-","","cifar10, marglik","2024-11-08T20:13:43.000Z","263","","relu","kron","128","0","data/","cifar10","cuda","false","false","natural","softplus","neither","heteroscedastic","0.1","0.1","0.1","0.0001","true","5","marglik","marglik-het-natural","mlp","50000","100","10","100","50","8","2038502","SGD","1","711","Flipout","true","0","-3","0","100","","","","","","","43353.01953125","198.04298400878903","88.17365264892578","437.0431213378906","0.18641509115695953","41.51921081542969","","","","","","","6.5834574699401855","0.6163064241409302","","","","","","","","","","","","","","","","","","","","4.0182521843235015e-9","","","","","0.0001902374029159546","0.0022119321823120116","","","","","0.00010779024505615234","0.300006591796875","","","","","0.000153237548828125","","","","","","","","","","","","","","","","","","","0.15183798968791962","","","","","0.08852070617675781","","","","","","","","","","","","","","","","","","","","0.279","-0.16773710790660468","1.5202834606170654","-5.235005407714846","-5.1297109664916976","-5.511998554992677","-4.946906833648684","-5.175114418029787","1537.8270263671875","-0.02142310459502292","39.21513748168945","37.98810195922851","0.000274658203125","0.06934094429016113","0.003353595733642578","0.004645347595214844","","0.29566","0.4356718613668475","0.0001","1.685814380645752","-0.189221893620613","0.06219116225838661","","","","","","","",""
"cifar10-map-4d01","finished","-","","cifar10, map","2024-11-08T19:58:41.000Z","897","","relu","kron","128","0","data/","cifar10","cuda","false","false","natural","softplus","neither","heteroscedastic","0.1","0.1","0.1","0.0001","true","5","map","map-het-natural","mlp","50000","100","101","100","50","8","2038502","SGD","1","711","Flipout","true","0","-3","0","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0000011722509516403078","","","","","0.0000036381743848323822","0.00000150959356687963","","","","","0.000013660589218139648","0.000005445430055260658","","","","","0.000012972654342651368","","","","","","","","","","","","","","","","","","","0.006719924509525299","","","","","0.003229182004928589","","","","","","","","","","","","","","","","","","","1000","0.1944","-0.15339049661039517","1.2438335418701172","-4.961378430938724","-4.954957775878906","-4.951720321655276","-4.949216612243652","-4.951447615051269","1377.8074951171875","-0.14910360528627373","37.11882781982422","35.81595993041992","0.00026869773864746094","0.06945943832397461","0.003495454788208008","0.004596233367919922","","0.20104","1.0364999996731656","0.0001","","0.8817766491714338","0.39703795313835144","1.020715594291687","11.401095390319824","5.918142795562744","1.4090362787246704","12.33855438232422","2.679152488708496","1.020715594291687","1.4188275337219238"
"cifar10-vi-58c7","finished","-","","cifar10, vi","2024-11-08T19:23:57.000Z","2078","","relu","kron","128","0","data/","cifar10","cuda","false","false","gaussian","softplus","neither","heteroscedastic","0.001","0.1","0.1","0.00001","true","5","vi","vi-het-gaussian","mlp","50000","100","10","100","50","","","Adam","1","711","Flipout","true","0","-3","0","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.014736533164978027","0.014472000122070313","9.036708984375","9.01505859375","","","0.013984176635742187","0.0149621708984375","9.027541015625","9.01357","","","0.010636329650878906","0.011491041015625","8.718859375","9.002002","","","","","","","","","","","","","","","","","","","","","0.02845057472586632","0.017939208984375","8.979037284851074","8.974046875","","","","","","","","","","","","","","","","","","","","1","0.2097","0.0054210981291139505","1.6715874671936035","-5.392729637145996","","","","","2773.470703125","","52.66374969482422","51.72330474853515","","","","","0.008589029312133789","0.24252","236.8728961557379","0.001","","92617.14495277403","1.0753648281097412","47.794185638427734","","","","","","",""
"cifar10-mcdropout-1421","finished","-","","cifar10, mcdropout","2024-11-08T19:17:47.000Z","365","","relu","kron","128","0","data/","cifar10","cuda","false","false","gaussian","softplus","neither","heteroscedastic","0.01","0.1","0.1","0.01","true","5","mcdropout","mcdropout-het-gaussian","mlp","50000","50","10","100","50","","","Adam","1","711","Flipout","true","0","-3","0","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.160225830078125","","","","","0.3627259114583333","0.02812917709350586","","","","","0.04665701953125","5.99271484375","","","","","0.0192503203125","","","","","","","","","","","","","","","","","","","11.6077241897583","","","","","4.19053857421875","","","","","","","","","","","","","","","","","","","0.1","0.1857","0.023045442300469073","4.511032581329346","-8.23260301055908","","","","","2784445.25","","1668.6656494140625","1668.627685546875","","","","","0.001661062240600586","0.18856","124420.69819975512","0.01","","48646216.62855363","9640.95703125","82.38269805908203","","","","","","",""
"cifar10-betanll-ea1f","finished","-","","betanll, cifar10","2024-11-08T19:07:08.000Z","633","","relu","kron","128","1","data/","cifar10","cuda","false","false","gaussian","softplus","neither","heteroscedastic","0.1","0.1","0.1","0.0001","true","5","betanll","betanll-het-gaussian-beta=1.0","mlp","50000","100","10","100","50","","","SGD","1","711","Flipout","true","0","-3","0","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000020323071628808975","","","","","0.00002369302014509837","0.00013531866669654847","","","","","0.000037253021240234375","0.002725006818771362","","","","","0.000009273384094238282","","","","","","","","","","","","","","","","","","","0.008049438707530499","","","","","0.001128157377243042","","","","","","","","","","","","","","","","","","","100","0.215","-0.12413759509488144","1.5032577514648438","-5.2220857337951685","","","","","1903.6556396484375","","43.63090133666992","42.463401794433594","","","","","0.0003814697265625","0.21494","0.7783602668196347","0.1","","450.0441897511482","0.6042015552520752","44.99491882324219","","","","","44.99491882324219","48.70246505737305","56.6603889465332"
"cifar10-betanll-cbba","finished","-","","betanll, cifar10","2024-11-08T18:56:27.000Z","635","","relu","kron","128","0.5","data/","cifar10","cuda","false","false","gaussian","softplus","neither","heteroscedastic","0.1","0.1","0.1","0.0001","true","5","betanll","betanll-het-gaussian-beta=0.5","mlp","50000","100","10","100","50","","","SGD","1","711","Flipout","true","0","-3","0","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0018084632158279416","","","","","0.0005775268872578939","0.0045101122856140135","","","","","0.001378002685546875","0.03148272323608398","","","","","0.00036953668212890626","","","","","","","","","","","","","","","","","","","0.9173142313957214","","","","","0.004770476341247559","","","","","","","","","","","","","","","","","","","10","0.2505","-0.10635235805443594","1.4628690481185913","-5.182877482604979","","","","","1842.4091796875","","42.92329406738281","41.72185134887695","","","","","0.0004153251647949219","0.2566","0.8720990404143657","0.1","","384.98664635419846","0.5003657937049866","45.62294006347656","14443.5185546875","","56.39207077026367","45.62294006347656","51.663970947265625","52.51607131958008","56.621585845947266"
"cifar10-betanll-fc8f","finished","-","","betanll, cifar10","2024-11-08T18:45:56.000Z","626","","relu","kron","128","0","data/","cifar10","cuda","false","false","gaussian","softplus","neither","heteroscedastic","0.1","0.1","0.1","0.0001","true","5","betanll","betanll-het-gaussian-beta=0.0","mlp","50000","100","10","100","50","","","SGD","1","711","Flipout","true","0","-3","0","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","0","0","","","","","0","0","","","","","0","","","","","","","","","","","","","","","","","","","0.10165641456842422","","","","","0","","","","","","","","","","","","","","","","","","","1000","0.1","","1.661732792854309","-5.382946322631835","","","","","2769.962646484375","","52.63043594360352","51.68745040893555","","","","","0.0003750324249267578","0.1","1.423495521630778","0.1","","555.5916398763657","1.0032804012298584","56.38313293457031","","","56.391136169433594","","","56.38313293457031","56.58550262451172"
"cifar10-faithful-d164","finished","-","","cifar10, faithful","2024-11-08T18:33:48.000Z","722","","relu","kron","128","0","data/","cifar10","cuda","false","false","gaussian","softplus","neither","heteroscedastic","0.1","0.1","0.1","0.0001","true","5","faithful","faithful-het-gaussian","mlp","50000","100","10","100","50","","","SGD","1","711","Flipout","true","0","-3","0","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.005797585938125849","0.00021611058712005615","0.0004221658455207944","0.0006800543069839477","","","","","","","0.00003032824024558067","0.000015991312762101492","0.0020604565143585206","0.000013261409759521484","","","","","100","0.2171","-0.07014398071427291","1.4507955312728882","-5.171791385650633","","","","","1833.7777099609375","","42.8226318359375","41.64852142333984","","","","","0.0004439353942871094","0.22084","1.6239027876378327","0.1","","488.9093438386917","0.6892179250717163","48.2748908996582","207.048583984375","176.33773803710938","229.7824859619141","56.06691360473633","48.2748908996582","56.4223518371582","56.59975051879883"
