Objective,Regularization,Posterior Predictive,boston-housing,concrete,energy,kin8nm,naval-propulsion-plant,power-plant,wine-quality-red,yacht
Homoscedastic,EB,Y,-2.49 (0.19),-2.98 (0.09),-0.74 (0.19),1.30 (0.01),4.77 (1.84),-2.79 (0.04),-0.98 (0.11),-0.64 (0.30)
Naive NLL,GS,N,-2.63 (0.09),-3.30 (0.25),-2.64 (2.62),1.36 (0.03),-26.11 (27.69),-2.79 (0.04),-0.92 (0.09),-11.67 (12.78)
β-NLL (0.5),GS,N,-2.56 (0.33),-3.40 (0.36),-0.99 (0.47),1.31 (0.04),4.77 (2.04),-2.79 (0.04),-0.99 (0.10),-0.27 (0.47)
β-NLL (1.0),GS,N,-2.55 (0.09),-3.16 (0.16),-1.01 (0.45),1.29 (0.03),6.86 (0.28),-2.81 (0.03),-0.92 (0.09),-3.59 (3.01)
Faithful,GS,N,-3.12 (0.29),-3.70 (0.06),-2.28 (0.12),0.19 (0.02),5.16 (0.07),-2.92 (0.02),-0.94 (0.11),-3.55 (0.14)
MC-Dropout,GS,N,-2.69 (0.44),-3.05 (0.09),-1.62 (0.09),1.18 (0.02),5.54 (0.09),-2.80 (0.04),-1.55 (0.47),-1.09 (0.14)
VI,GS,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Naive NLL,EB,Y,-2.57 (0.11),-3.12 (0.07),-2.04 (0.03),1.35 (0.01),5.90 (0.16),-2.80 (0.04),-0.96 (0.10),-2.43 (0.10)
Naive NLL,EB,N,-42.74 (79.55),-3.18 (0.17),-1.45 (1.12),1.38 (0.02),-50.21 (84.10),-2.78 (0.05),-2.76 (1.35),-1.95 (1.45)
Natural NLL,GS,Y,-2.42 (0.16),-2.88 (0.07),-1.48 (0.18),1.33 (0.02),6.30 (0.05),-2.74 (0.04),-0.93 (0.09),-1.14 (0.06)
Natural NLL,GS,N,-2.61 (0.45),-2.86 (0.11),-0.72 (0.30),1.33 (0.02),6.69 (0.01),-2.73 (0.04),-0.94 (0.09),-0.52 (0.30)
Natural NLL,EB,Y,-2.36 (0.09),-2.93 (0.09),-1.17 (0.04),1.37 (0.01),6.51 (0.02),-2.75 (0.03),-0.96 (0.11),-1.11 (0.03)
Natural NLL,EB,N,-2.48 (0.35),-2.92 (0.12),-0.65 (0.25),1.37 (0.01),6.69 (0.02),-2.74 (0.04),-1.02 (0.12),-0.82 (0.32)
