"Name","State","Notes","User","Tags","Created","Runtime","Sweep","activation","approx","batch_size","beta","data_root","dataset","depth","device","double","head","head_activation","likelihood","lr","lr_hyp","lr_hyp_min","lr_min","marglik_early_stopping","marglik_frequency","method","n_data","n_epochs","n_epochs_burnin","n_hypersteps","n_param_groups","n_params","optimizer","prior_prec_init","rep","seed","typeofrep","use_wandb","vi_posterior_mu_init","vi_posterior_rho_init","vi_prior_mu","width","epoch","hyperparams/prior_prec_layer1.bias","hyperparams/prior_prec_layer1.weight","hyperparams/prior_prec_out_layer.bias","hyperparams/prior_prec_out_layer.weight","hyperparams/sigma_noise","params/layer1.bias","params/layer1.mu_bias","params/layer1.mu_weight","params/layer1.rho_bias","params/layer1.rho_weight","params/layer1.weight","params/out_layer.bias","params/out_layer.mu_bias","params/out_layer.mu_weight","params/out_layer.rho_bias","params/out_layer.rho_weight","params/out_layer.weight","params/out_layer_mu.bias","params/out_layer_mu.weight","params/out_layer_var.bias","params/out_layer_var.weight","params/z_layer.lin_layer.bias","params/z_layer.lin_layer.weight","prior_prec_opt","test/loglik","test/loglik_bayes","test/loglik_bayes_mc","test/loglik_bayes_mc_lse","test/loglik_bayes_mean","test/mse","train/loss","train/lr","train/marglik","train/nll","train/perf","valid/nll","valid/perf"
"kin8nm-map-abc9","running","-","","kin8nm, map","2024-11-08T15:06:34.000Z","2881","","gelu","full","256","0.5","data/","kin8nm","1","cuda","true","meanvar","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","50","map","","5000","5001","50","","","Adam","1","0","3","Flipout","true","0","-3","0","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"kin8nm-marglik-d89e","finished","-","","kin8nm, marglik","2024-11-08T14:58:40.000Z","468","","gelu","full","256","0.5","data/","kin8nm","1","cuda","true","natural","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","50","marglik","7372","5000","100","50","4","552","Adam","1","0","3","Flipout","true","0","-3","0","50","5000","0.5346900820732117","2.5460336208343506","8.63459300994873","0.03687463328242302","","1.8255041777186216","","","","","0.378932415673756","0.0013386705152021083","","","","","25.63618641529193","","","","","","","","1.3741389492567502","1.3749121502405528","1.3761350893209017","1.3755062565319096","1.376282784391064","0.05829642420103901","-0.08393452546483801","0.00001","0.1123182396395435","-0.11983138826991412","0.048556155025095915","",""
"kin8nm-map-3e69","finished","-","","kin8nm, map","2024-11-08T14:00:04.000Z","3510","","gelu","full","256","0.5","data/","kin8nm","1","cuda","true","natural","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","50","map","7372","5000","5001","50","4","552","Adam","1","0","3","Flipout","true","0","-3","0","50","5000","","","","","","4.974099140425144","","","","","1.0755722047558527","6.6824481468343935","","","","","21.75742647091663","","","","","","","0.01","1.3259795015585645","1.334385906950216","1.335889159389139","1.3349859084882685","1.3359256451014263","0.06555545920734332","-0.11424909200227426","0.00001","","-0.11619431698554888","0.04973924182636357","0.024785720616724342",""
"kin8nm-vi-119e","failed","-","","kin8nm, vi","2024-11-08T13:44:45.000Z","913","","gelu","full","256","0","data/","kin8nm","1","cuda","true","gaussian","softplus","heteroscedastic","0.001","0.01","0.001","0.001","true","50","vi","7372","1000","100","50","","","Adam","1","0","3","Flipout","true","0","-3","0","50","1000","","","","","","","0.5748241337168345","0.1814310885954818","31.26158723703672","32.528101183908355","","","0.73362148518824","0.25612216155617473","29.84127034340065","34.55107061225587","","","","","","","","1","","","","","","","-0.031167198803542982","0.001","","-1.0314209859872834","0.07228916733168961","0.010493940946705575","0.07540901956979185"
"kin8nm-mcdropout-5a89","finished","-","","kin8nm, mcdropout","2024-11-08T13:34:38.000Z","600","","gelu","full","256","0","data/","kin8nm","1","cuda","true","gaussian","softplus","heteroscedastic","0.001","0.01","0.001","0.001","true","50","mcdropout","7372","1000","100","50","","","Adam","1","0","3","Flipout","true","0","-3","0","50","1000","","","","","","0.9994245830647762","","","","","0.20825675298755647","1.8900284962735672","","","","","0.1828674403329313","","","","","","","0.1","1.156829973644635","","","","","0.11811204807403625","0.24698408002965155","0.001","","6.421552732603836","0.14160296789817467","0.3874949172559505","0.1132373004272337"
"kin8nm-betanll-abad","finished","-","","betanll, kin8nm","2024-11-08T12:45:10.000Z","2962","","gelu","full","256","1","data/","kin8nm","1","cuda","true","gaussian","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","50","betanll","7372","5000","100","50","","","Adam","1","0","3","Flipout","true","0","-3","0","50","5000","","","","","","3.159686093297408","","","","","0.3949291990101575","4.440768608455005","","","","","0.17170904979633142","","","","","","","0.01","1.2703105374249892","","","","","0.07231930690824913","0.005751548223538689","0.01","","-0.403307184415668","0.06255131987920438","0.012673950257934285","0.06922192049209454"
"kin8nm-betanll-c749","finished","-","","betanll, kin8nm","2024-11-08T11:55:04.000Z","2998","","gelu","full","256","0.5","data/","kin8nm","1","cuda","true","gaussian","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","50","betanll","7372","5000","100","50","","","Adam","1","0","3","Flipout","true","0","-3","0","50","5000","","","","","","1.046157602940451","","","","","0.2327707009723377","1.0691660275370558","","","","","0.225673081658179","","","","","","","1","1.2361853835107297","","","","","0.07953662875802327","0.004120153927305548","0.01","","-1.3733588313880083","0.060412135546791715","0.09212942051995612","0.06835125936206847"
"kin8nm-betanll-ed81","finished","-","","betanll, kin8nm","2024-11-08T11:05:25.000Z","2974","","gelu","full","256","0","data/","kin8nm","1","cuda","true","gaussian","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","50","betanll","7372","5000","100","50","","","Adam","1","0","3","Flipout","true","0","-3","0","50","5000","","","","","","2.2213696235620257","","","","","0.34795753549210073","3.5862398690636548","","","","","0.20345058280635575","","","","","","","1","1.284223938666122","","","","","0.07556710076564085","-0.05491761188953707","0.01","","-1.4279609604788102","0.07463206760551125","0.14982050813765702","0.07790371778300338"
"kin8nm-faithful-e993","finished","-","","faithful, kin8nm","2024-11-08T10:06:37.000Z","3522","","gelu","full","256","0.5","data/","kin8nm","1","cuda","true","gaussian","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","50","faithful","7372","5000","100","50","","","Adam","1","0","3","Flipout","true","0","-3","0","50","5000","","","","","","","","","","","","","","","","","","0.001005871540951146","0.0037194560130645337","0.05903912349836501","0.01824926770794115","0.0016549023105417193","0.008612707081504838","1","0.20633642518798423","","","","","0.5802909652816455","1.4450707819616928","0.01","","29.83691905543925","0.5949704742866132","3.427255317067724","0.6024841447318593"
"kin8nm-marglik-e9bc","finished","-","","kin8nm, marglik","2024-11-08T10:01:29.000Z","301","","gelu","full","256","0.5","data/","kin8nm","1","cuda","true","natural","softplus","homoscedastic","0.01","0.01","0.001","0.00001","true","50","marglik","7372","5000","100","50","4","501","Adam","1","0","3","Flipout","true","0","-3","0","50","5000","0.45748624205589294","4.491171360015869","2144.052734375","0.8118619322776794","0.23825277388095856","1.6440804973412937","","","","","0.1655189018652996","0.000002317038415652096","","","","","0.8701980318922051","","","","","","","","1.310922413254206","1.316821952565122","","","","0.06142582284489475","0.05672143476790394","0.00001","0.13791471342432546","0.05387026251077843","0.053922790218546984","",""
